model,method,class,node,fidelity_plus,fidelity_minus,sparsity,n_high_imp_edges,avg_importance
gcn,gnn,licit,167024,-0.0027246475219726562,5.841255187988281e-06,0.9500032002730899,55,0.388245552778244
gcn,gnn,licit,174854,0.67915078997612,-5.078315734863281e-05,0.9500032002730899,11,0.5414015650749207
gcn,pg,illicit,136312,0.9294447712600231,0.0,0.9500032002730899,58,1.0
gcn,pg,illicit,189916,0.9985779538983479,0.0,0.9500032002730899,54,1.0
gcn,pg,illicit,193466,0.36524736881256104,-5.960464477539063e-08,0.9500032002730899,13,1.0
gcn,pg,illicit,137950,0.24778875708580017,0.0,0.9500032002730899,4,1.0
gcn,pg,illicit,157681,0.5746574997901917,-1.6570091247558594e-05,0.9500032002730899,65,1.0
gcn,pg,illicit,142234,0.9534829799085855,0.00036513805389404297,0.9500032002730899,108,1.0
gcn,pg,illicit,201532,0.611705094575882,0.0,0.9500032002730899,27,1.0
gcn,pg,illicit,157368,0.5266427099704742,-0.00044715404510498047,0.9500032002730899,87,1.0
gcn,pg,illicit,148265,0.308021605014801,0.0,0.9500032002730899,11,1.0
gcn,pg,illicit,179187,0.6316439211368561,2.384185791015625e-06,0.9500032002730899,112,1.0
gcn,pg,illicit,167155,0.16296172142028809,1.1920928955078125e-07,0.9500032002730899,6,1.0
gcn,pg,illicit,157686,0.2218087911605835,0.0,0.9500032002730899,4,1.0
gcn,pg,illicit,194257,0.05203062295913696,0.0,0.9500032002730899,6,1.0
gcn,pg,illicit,170610,0.5226028263568878,-0.014657020568847656,0.9500032002730899,14,1.0
gcn,pg,illicit,148166,0.9216398671269417,0.0,0.9500032002730899,234,1.0
gcn,pg,illicit,170849,0.07291519641876221,0.0,0.9500032002730899,8,1.0
gcn,pg,licit,201356,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,201364,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,151517,-1.1920928955078125e-07,-3.5762786865234375e-07,0.9500032002730899,3,1.0
gcn,pg,licit,193280,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,154446,-5.960464477539062e-07,-9.5367431640625e-07,0.9500032002730899,3,1.0
gcn,pg,licit,139598,0.0,0.0,0.9500032002730899,3,1.0
gcn,pg,licit,151627,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,151527,0.07821238040924072,0.0,0.9500032002730899,2,0.9999977946281433
gcn,pg,licit,167677,0.02935624122619629,-8.118152618408203e-05,0.9500032002730899,44,1.0
gcn,pg,licit,142289,0.4767652451992035,-0.032485783100128174,0.9500032002730899,116,0.9999977350234985
gcn,pg,licit,174990,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,184134,0.005662202835083008,2.384185791015625e-07,0.9500032002730899,114,1.0
gcn,pg,licit,174602,-0.11879891157150269,0.0,0.9500032002730899,1,0.9999990463256836
gcn,pg,licit,179193,-1.3709068298339844e-05,-2.7418136596679688e-06,0.9500032002730899,160,1.0
gcn,pg,licit,184154,1.811981201171875e-05,0.0,0.9500032002730899,167,1.0
gcn,pg,licit,184699,1.1920928955078125e-07,-2.384185791015625e-07,0.9500032002730899,3,1.0
gcn,pg,licit,155753,1.3113021850585938e-06,0.0,0.9500032002730899,2,1.0
gcn,pg,licit,151484,2.384185791015625e-07,0.0,0.9500032002730899,172,1.0
gcn,pg,licit,163461,0.19596421718597412,0.0,0.9500032002730899,6,1.0
gcn,pg,licit,166983,-5.817413330078125e-05,-5.245208740234375e-06,0.9500032002730899,333,1.0
gcn,pg,licit,167091,-2.9802322387695312e-06,-1.0728836059570312e-06,0.9500032002730899,423,1.0
gcn,pg,licit,167002,-0.0017514824867248535,5.453824996948242e-05,0.9500032002730899,335,1.0
gcn,pg,licit,180098,0.34853172302246094,-0.0046329498291015625,0.9500032002730899,11,0.9999997615814209
gcn,pg,licit,162242,0.00039070844650268555,-1.1920928955078125e-06,0.9500032002730899,31,1.0
gcn,pg,licit,176246,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,193289,0.010588526725769043,-2.0205974578857422e-05,0.9500032002730899,414,1.0
gcn,pg,licit,181131,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,142744,0.0,0.0,0.9500032002730899,3,1.0
gcn,pg,licit,155379,0.0,0.0,0.9500032002730899,2,1.0
gcn,pg,licit,184702,8.344650268554688e-07,-1.1920928955078125e-07,0.9500032002730899,3,1.0
gcn,pg,licit,194187,0.6272509098052979,0.0,0.9500032002730899,13,1.0
gcn,pg,licit,179438,1.1920928955078125e-07,0.0,0.9500032002730899,3,1.0
gcn,pg,licit,193861,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,142137,0.5992129147052765,-0.0008246302604675293,0.9500032002730899,101,1.0
gcn,pg,licit,136641,0.21473979949951172,-1.0728836059570312e-06,0.9500032002730899,30,1.0
gcn,pg,licit,163282,0.2762063145637512,0.0,0.9500032002730899,44,1.0
gcn,pg,licit,184531,2.384185791015625e-07,-1.1920928955078125e-07,0.9500032002730899,3,1.0
gcn,pg,licit,151798,-0.38380616903305054,0.005749344825744629,0.9500032002730899,12,0.9999998211860657
gcn,pg,licit,151822,0.32746565341949463,-3.4570693969726562e-06,0.9500032002730899,21,1.0
gcn,pg,licit,151544,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,154673,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,157158,1.2874603271484375e-05,-5.960464477539062e-07,0.9500032002730899,330,1.0
gcn,pg,licit,154637,0.0,0.0,0.9500032002730899,0,0.0
gcn,pg,licit,167444,0.13658010959625244,0.0,0.9500032002730899,183,1.0
gcn,pg,licit,170138,-0.008772015571594238,-0.000836789608001709,0.9500032002730899,37,0.9999995827674866
gcn,pg,licit,179255,3.5762786865234375e-07,-1.1920928955078125e-07,0.9500032002730899,3,1.0
gcn,pg,licit,161918,2.0265579223632812e-06,-5.960464477539062e-07,0.9500032002730899,3,1.0
gcn,pg,licit,159636,0.29023855924606323,-1.919269561767578e-05,0.9500032002730899,100,1.0
gcn,pg,licit,167024,-0.0027246475219726562,5.841255187988281e-06,0.9500032002730899,166,1.0
gcn,pg,licit,174854,0.67915078997612,-5.078315734863281e-05,0.9500032002730899,20,1.0
graphsage,gnn,illicit,142234,0.003900289535522461,0.0,0.9500032002730899,45,0.4392956495285034
